item,condition,sentence,target,alternative
ParkerAn_0_OBLIQUE_S,OBLIQUE_S,The waitress  sat near the girl unsurprisingly,was,were
ParkerAn_0_OBLIQUE_S,OBLIQUE_S,The waitress  sat near the girl unsurprisingly,eétait,eétaient
ParkerAn_0_OBLIQUE_S,OBLIQUE_S,The waitress qui s'est assis près de la fille sans surprise,was,were
ParkerAn_0_OBLIQUE_S,OBLIQUE_S,The waitress qui s'est assis près de la fille sans surprise,eétait,eétaient
ParkerAn_0_OBLIQUE_S,OBLIQUE_S,La serveuse sat near the girl unsurprisingly,was,were
ParkerAn_0_OBLIQUE_S,OBLIQUE_S,La serveuse sat near the girl unsurprisingly,eétait,eétaient
ParkerAn_0_OBLIQUE_S,OBLIQUE_S,La serveusequi s'est assis près de la fille sans surprise,was,were
ParkerAn_0_OBLIQUE_S,OBLIQUE_S,La serveusequi s'est assis près de la fille sans surprise,eétait,eétaient
ParkerAn_0_CORE_S,CORE_S,The waitress  sat  the girl unsurprisingly,was,were
ParkerAn_0_CORE_S,CORE_S,The waitress  sat  the girl unsurprisingly,eétait,eétaient
ParkerAn_0_CORE_S,CORE_S,The waitress qui a assis la fille sans surprise,was,were
ParkerAn_0_CORE_S,CORE_S,The waitress qui a assis la fille sans surprise,eétait,eétaient
ParkerAn_0_CORE_S,CORE_S,La serveuse sat  the girl unsurprisingly,was,were
ParkerAn_0_CORE_S,CORE_S,La serveuse sat  the girl unsurprisingly,eétait,eétaient
ParkerAn_0_CORE_S,CORE_S,La serveusequi a assis la fille sans surprise,was,were
ParkerAn_0_CORE_S,CORE_S,La serveusequi a assis la fille sans surprise,eétait,eétaient
ParkerAn_0_OBLIQUE_P,OBLIQUE_P,The waitress  sat near the girls unsurprisingly,was,were
ParkerAn_0_OBLIQUE_P,OBLIQUE_P,The waitress  sat near the girls unsurprisingly,eétait,eétaient
ParkerAn_0_OBLIQUE_P,OBLIQUE_P,The waitress qui s'est assis près des filles sans surprise,was,were
ParkerAn_0_OBLIQUE_P,OBLIQUE_P,The waitress qui s'est assis près des filles sans surprise,eétait,eétaient
ParkerAn_0_OBLIQUE_P,OBLIQUE_P,La serveuse sat near the girls unsurprisingly,was,were
ParkerAn_0_OBLIQUE_P,OBLIQUE_P,La serveuse sat near the girls unsurprisingly,eétait,eétaient
ParkerAn_0_OBLIQUE_P,OBLIQUE_P,La serveusequi s'est assis près des filles sans surprise,was,were
ParkerAn_0_OBLIQUE_P,OBLIQUE_P,La serveusequi s'est assis près des filles sans surprise,eétait,eétaient
ParkerAn_0_CORE_P,CORE_P,The waitress  sat  the girls unsurprisingly,was,were
ParkerAn_0_CORE_P,CORE_P,The waitress  sat  the girls unsurprisingly,eétait,eétaient
ParkerAn_0_CORE_P,CORE_P,The waitress qui a assis les filles sans surprise,was,were
